Obra|DataUltimaAuditoria|ValorInicialContratado|ValorAditado|DespesaPaga|ValorTotal
2541|2019-02-27T00:00:00|618324.70|0.00|525810.36|618324.70
2542|2019-12-05T00:00:00|444591.02|0.00|86689.54|444591.02
2543|2019-12-05T00:00:00|444591.02|0.00|86689.54|444591.02
2544|2019-12-05T00:00:00|444591.02|0.00|86689.54|444591.02
2545|2019-02-28T00:00:00|455518.41|0.00|294209.41|455518.41
2546|2019-02-28T00:00:00|181072.38|0.00|107177.52|181072.38
2547|2019-02-28T00:00:00|440546.80|0.00|191213.91|440546.80
2549|2019-02-28T00:00:00|901138.70|0.00|263481.47|901138.70
2550|2019-02-28T00:00:00|77039.91|0.00|23996.00|77039.91
2551|2019-12-06T00:00:00|727720.95|0.00|104300.97|727720.95
2552|2020-03-17T00:00:00|191867558.23|-216510.89|167785947.82|191651047.34
2553|2017-05-26T00:00:00|163083.35|0.00|137207.59|163083.35
2554|2017-05-26T00:00:00|182334.51|0.00|152495.74|182334.51
2556|2017-08-29T00:00:00|0.00|0.00|520015.15|0.00
2557|2017-08-29T00:00:00|0.00|0.00|281329.14|0.00
2558|2017-08-29T00:00:00|0.00|0.00|271028.65|0.00
2559|2017-08-29T00:00:00|0.00|0.00|1094046.25|0.00
2560|2017-08-29T00:00:00|0.00|0.00|952712.39|0.00
2562|2017-07-11T00:00:00|6926312.84|1627681.16|5468991.96|8553994.00
2563|2017-08-31T00:00:00|426400.00|0.00|265501.98|426400.00
2566|2017-10-16T00:00:00|860100.00|1720200.00|1188257.06|2580300.00
2567|2017-10-16T00:00:00|447746.68|0.00|312417.75|447746.68
2568|2017-03-14T00:00:00|486648.00|0.00|236288.31|486648.00
2570|2017-10-20T00:00:00|15614406.48|5204802.16|15718375.32|20819208.64
2574|2017-05-16T00:00:00|898256.70|0.00|507728.29|898256.70
2575|2017-05-16T00:00:00|1319923.89|-40.24|472555.25|1319883.65
2577|2017-09-27T00:00:00|814638.44|0.00|681904.15|814638.44
2578|2017-05-16T00:00:00|884724.09|0.00|443000.00|884724.09
2579|2017-05-16T00:00:00|770003.46|0.00|630448.04|770003.46
2580|2017-05-16T00:00:00|651333.32|0.00|474853.92|651333.32
2581|2017-05-16T00:00:00|465639.44|0.00|232103.70|465639.44
2582|2017-05-16T00:00:00|198052.39|0.00|134764.96|198052.39
2585|2017-09-20T00:00:00|2145048.91|0.00|0.00|2145048.91
2590|2017-09-05T00:00:00|244386.11|60026.95|199544.31|304413.06
2591|2017-09-05T00:00:00|242186.10|0.00|48285.43|242186.10
2593|2017-09-05T00:00:00|188310.36|60026.95|175897.77|248337.31
2594|2017-09-05T00:00:00|127233.81|0.00|127233.81|127233.81
2595|2017-11-16T00:00:00|12423672.36|0.00|1224973.81|12423672.36
2596|2017-12-22T00:00:00|25170000.00|0.00|0.00|25170000.00
2597|2017-11-16T00:00:00|3429097.95|0.00|2050894.10|3429097.95
2598|2017-10-27T00:00:00|455160.30|93224.85|519771.40|548385.15
2599|2018-03-09T00:00:00|226336.36|51538.84|224523.44|277875.20
2600|2017-10-27T00:00:00|276222.61|28041.00|304262.24|304263.61
2601|2017-10-27T00:00:00|226013.90|15223.50|241236.91|241237.40
2602|2017-12-22T00:00:00|320528.13|0.00|311548.29|320528.13
2603|2017-12-22T00:00:00|322084.36|0.00|297947.61|322084.36
2604|2018-02-22T00:00:00|309943.72|0.00|292988.10|309943.72
2605|2017-10-27T00:00:00|568573.52|0.00|479279.80|568573.52
2606|2017-10-27T00:00:00|550775.79|0.00|437352.35|550775.79
2607|2017-10-27T00:00:00|567511.83|0.00|340428.20|567511.83
